Time,Channel A
(s),(V)

191.73342904,-0.02063051
191.80009574,-0.02301096
191.86676244,-0.02368236
191.93342914,-0.02264473
192.00009584,-0.02209540
192.06676254,-0.02105777
192.13342924,-0.01904355
192.20009594,-0.02191229
192.26676264,-0.02252266
192.33342934,-0.02117985
192.40009604,-0.02185125
192.46676274,-0.02288888
192.53342944,-0.02081362
192.60009614,-0.01977599
192.66676284,-0.02008118
192.73342954,-0.01904355
192.80009624,-0.01910459
192.86676294,-0.02130192
192.93342964,-0.01373333
193.00009634,-0.01953185
193.06676304,-0.02130192
193.13342974,-0.01678518
193.20009644,-0.01947081
193.26676314,-0.02020325
193.33342984,-0.01580859
193.40009654,-0.01739555
193.46676324,-0.02136296
193.53342994,-0.01837214
193.60009664,-0.01739555
193.66676334,-0.01812799
193.73343004,-0.01641896
193.80009674,-0.01666311
193.86676344,-0.01788385
193.93343014,-0.01550340
194.00009684,-0.01544237
194.06676354,-0.01648000
194.13343024,-0.01342814
194.20009694,-0.01324503
194.26676364,-0.01532029
194.33343034,-0.01306192
194.40009704,-0.00939970
194.46676374,-0.01409955
194.53343044,-0.01190222
194.60009714,-0.01318400
194.66676384,-0.01190222
194.73343054,-0.01361126
194.80009724,-0.01147496
194.86676394,-0.01544237
194.93343064,-0.01019318
195.00009734,-0.01190222
195.06676404,-0.01226844
195.13343074,-0.01055940
195.20009744,-0.01074252
195.26676414,-0.01269570
195.33343084,-0.01165807
195.40009754,-0.00830104
195.46676424,-0.01263466
195.53343094,-0.00854518
195.60009764,-0.00787378
195.66676434,-0.01153600
195.73343104,-0.00958281
195.80009774,-0.00903348
195.86676444,-0.01007111
195.93343114,-0.01001007
196.00009784,-0.00738548
196.06676454,-0.01013215
196.13343124,-0.01116977
196.20009794,-0.00854518
196.26676464,-0.01129185
196.33343134,-0.01318400
196.40009804,-0.00830104
196.46676474,-0.00866726
196.53343144,-0.00933866
196.60009814,-0.00793481
196.66676484,-0.00958281
196.73343154,-0.01055940
196.80009824,-0.00756859
196.86676494,-0.00811792
196.93343164,-0.01013215
197.00009834,-0.00909452
197.06676504,-0.00903348
197.13343174,-0.01007111
